iter	Passed	Remaining
0	245	122723
1	509	126934
2	758	125612
3	1016	126052
4	1276	126408
5	1537	126560
6	1843	129839
7	2113	130003
8	2366	129085
9	2623	128551
10	2880	128049
11	3151	128166
12	3421	128156
13	3728	129424
14	4006	129528
15	4276	129362
16	4538	128953
17	4805	128674
18	5077	128541
19	5343	128244
20	5607	127907
21	5880	127759
22	6152	127592
23	6427	127472
24	6695	127215
25	6978	127223
26	7236	126781
27	7512	126647
28	7795	126610
29	8079	126574
30	8377	126744
31	8663	126708
32	8951	126670
33	9231	126523
34	9522	126517
35	9816	126526
36	10110	126522
37	10401	126464
38	10695	126425
39	10984	126316
40	11275	126226
41	11555	126007
42	11842	125856
43	12126	125677
44	12412	125507
45	12703	125378
46	12993	125237
47	13274	125003
48	13566	124868
49	13859	124739
50	14142	124507
51	14429	124312
52	14720	124150
53	15003	123913
54	15298	123780
55	15578	123518
56	15866	123309
57	16150	123074
58	16424	122768
59	16703	122493
60	16974	122160
61	17260	121933
62	17541	121675
63	17829	121464
64	18109	121191
65	18399	120989
66	18699	120849
67	18998	120695
68	19292	120507
69	19586	120315
70	19883	120139
71	20150	119781
72	20425	119472
73	20686	119087
74	20953	118737
75	21219	118384
76	21488	118047
77	21752	117686
78	22015	117324
79	22295	117048
80	22565	116729
81	22876	116614
82	23132	116222
83	23394	115859
84	23666	115549
85	23924	115173
86	24188	114825
87	24448	114461
88	24709	114108
89	24979	113793
90	25252	113497
91	25507	113119
92	25772	112790
93	26045	112493
94	26317	112195
95	26570	111818
96	26820	111430
97	27088	111119
98	27359	110819
99	27626	110506
100	27903	110231
101	28168	109910
102	28434	109596
103	28701	109284
104	28964	108962
105	29236	108672
106	29501	108354
107	29769	108052
108	30032	107730
109	30304	107442
110	30574	107148
111	30837	106831
112	31114	106559
113	31374	106232
114	31646	105948
115	31914	105647
116	32182	105350
117	32458	105076
118	32728	104784
119	32997	104492
120	33268	104204
121	33533	103898
122	33805	103614
123	34075	103324
124	34351	103053
125	34617	102753
126	34880	102444
127	35150	102157
128	35430	101895
129	35697	101601
130	35971	101325
131	36244	101044
132	36509	100745
133	36776	100449
134	37048	100167
135	37319	99884
136	37582	99579
137	37858	99309
138	38130	99029
139	38400	98743
140	38676	98474
141	38949	98195
142	39207	97882
143	39456	97544
144	39715	97234
145	39989	96961
146	40273	96711
147	40558	96463
148	40843	96214
149	41142	96000
150	41447	95794
151	41754	95595
152	42035	95335
153	42333	95112
154	42630	94886
155	42953	94718
156	43252	94493
157	43518	94198
158	43783	93900
159	44048	93602
160	44305	93289
161	44572	92996
162	44848	92723
163	45172	92548
164	45445	92268
165	45739	92030
166	46032	91789
167	46446	91788
168	46837	91735
169	47164	91555
170	47480	91351
171	47799	91153
172	48175	91060
173	48466	90805
174	48779	90591
175	49085	90362
176	49480	90295
177	49871	90216
178	50231	90079
179	50646	90038
180	51024	89927
181	51354	89728
182	51709	89573
183	52032	89359
